common_name,inchikey,alternative_names
Salicylaldehyde,SMQUZDBALVYZAC-UHFFFAOYSA-N,
Guaiacol,LHGVFZTZFXWLCP-UHFFFAOYSA-N,
Anethole,RUVINXPYWBROJD-ONEGZZNKSA-N,
ZRSNZINYAWTAHE-UHFFFAOYSA-N,ZRSNZINYAWTAHE-UHFFFAOYSA-N,
Cuminaldehyde,WTWBUQJHJGUZCY-UHFFFAOYSA-N,
Anisole,RDOXTESZEPMUJZ-UHFFFAOYSA-N,
Methyleugenol,ZYEMGPIYFIJGTP-UHFFFAOYSA-N,
Beta-Asarone,RKFAZBXYICVSKP-WAYWQWQTSA-N,
Phenylacetonitrile,SUSQOBVLVYHIEX-UHFFFAOYSA-N,
Isoeugenol,BJIOGJUNALELMI-ONEGZZNKSA-N,
P-Cresol,IWDCLRJOBJJRNH-UHFFFAOYSA-N,
4-Ethylphenol,HXDOZKJGKXYMEW-UHFFFAOYSA-N,
2-Propylphenol,LCHYEKKJCUJAKN-UHFFFAOYSA-N,
Cinnamaldehyde,KJPRLNWUNMBNBZ-QPJJXVBHSA-N,
Benzonitrile,JFDZBHWFFUWGJE-UHFFFAOYSA-N,
Methyl 2-(3-Oxo-2-((E)-Pent-2-Enyl)Cyclopentyl)Acetate,GEWDNTWNSAZUDX-SNAWJCMRSA-N,
Benzyl acetate,QUKGYYKBILRGFE-UHFFFAOYSA-N,
4-Propylphenol,KLSLBUSXWBJMEC-UHFFFAOYSA-N,
M-Cresol,RLSSMJSEOOYNOY-UHFFFAOYSA-N,
2-Ethylphenol,IXQGCWUGDFDQMF-UHFFFAOYSA-N,
Benzoic Acid,WPYMKLBDIGXBTP-UHFFFAOYSA-N,
Vanillin,MWOOGOJBHIARFG-UHFFFAOYSA-N,
Methanol,OKKJLVBELUTLKV-UHFFFAOYSA-N,
Ethanol,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,
1-Propanol,BDERNNFJNOPAEC-UHFFFAOYSA-N,
1-Butanol,LRHPLDYGYMQRHN-UHFFFAOYSA-N,
1-Pentanol,AMQJEAYHLZJPGS-UHFFFAOYSA-N,
1-Hexanol,ZSIAUFGUXNUGDI-UHFFFAOYSA-N,
1-Octanol,KBPLFHHGFOOTCA-UHFFFAOYSA-N,
2-Octanol,SJWFXCIHNDVPSH-UHFFFAOYSA-N,
2-Pentanol,JYVLIDXNZAXMDK-UHFFFAOYSA-N,
Isoamyl Alcohol,PHTQWCKDNZKARW-UHFFFAOYSA-N,
3-Methyl-2-buten-1-OL,ASUAYTHWZCLXAN-UHFFFAOYSA-N,
1-Penten-3-Ol,VHVMXWZXFBOANQ-UHFFFAOYSA-N,
1-Octen-3-Ol,VSMOENVRRABVKN-UHFFFAOYSA-N,
2-Hexen-1-ol,ZCHHRLHTBGRGOT-SNAWJCMRSA-N,
"2-Hexen-1-ol, (2Z)-",ZCHHRLHTBGRGOT-PLNGDYQASA-N,
trans-3-Hexen-1-ol,UFLHIIWVXFIJGU-ONEGZZNKSA-N,
3-Hexenol,UFLHIIWVXFIJGU-ARJAWSKDSA-N,
Glycerol,PEDCQBHIVMGVHV-UHFFFAOYSA-N,
"2,3-Butanediol",OWBTYPJTUOEWEK-UHFFFAOYSA-N,
Cyclohexanol,HPXRVTGHNJAIIH-UHFFFAOYSA-N,
1-Decanol,MWKFXSUHUHTGQN-UHFFFAOYSA-N,
4-Methylcyclohexanol,MQWCXKGKQLNYQG-UHFFFAOYSA-N,
Heptanol,BBMCTIGTTCKYKF-UHFFFAOYSA-N,
3-Octanol,NMRPBPVERJPACX-UHFFFAOYSA-N,
