common_name,inchikey,alternative_names
LFQSCWFLJHTTHZ-UHFFFAOYSA-N,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,
BDERNNFJNOPAEC-UHFFFAOYSA-N,BDERNNFJNOPAEC-UHFFFAOYSA-N,
LRHPLDYGYMQRHN-UHFFFAOYSA-N,LRHPLDYGYMQRHN-UHFFFAOYSA-N,
AMQJEAYHLZJPGS-UHFFFAOYSA-N,AMQJEAYHLZJPGS-UHFFFAOYSA-N,
ZSIAUFGUXNUGDI-UHFFFAOYSA-N,ZSIAUFGUXNUGDI-UHFFFAOYSA-N,
KBPLFHHGFOOTCA-UHFFFAOYSA-N,KBPLFHHGFOOTCA-UHFFFAOYSA-N,
SJWFXCIHNDVPSH-UHFFFAOYSA-N,SJWFXCIHNDVPSH-UHFFFAOYSA-N,
JYVLIDXNZAXMDK-UHFFFAOYSA-N,JYVLIDXNZAXMDK-UHFFFAOYSA-N,
PHTQWCKDNZKARW-UHFFFAOYSA-N,PHTQWCKDNZKARW-UHFFFAOYSA-N,
ASUAYTHWZCLXAN-UHFFFAOYSA-N,ASUAYTHWZCLXAN-UHFFFAOYSA-N,
VHVMXWZXFBOANQ-UHFFFAOYSA-N,VHVMXWZXFBOANQ-UHFFFAOYSA-N,
VSMOENVRRABVKN-UHFFFAOYSA-N,VSMOENVRRABVKN-UHFFFAOYSA-N,
ZCHHRLHTBGRGOT-SNAWJCMRSA-N,ZCHHRLHTBGRGOT-SNAWJCMRSA-N,
ZCHHRLHTBGRGOT-PLNGDYQASA-N,ZCHHRLHTBGRGOT-PLNGDYQASA-N,
UFLHIIWVXFIJGU-ONEGZZNKSA-N,UFLHIIWVXFIJGU-ONEGZZNKSA-N,
UFLHIIWVXFIJGU-ARJAWSKDSA-N,UFLHIIWVXFIJGU-ARJAWSKDSA-N,
PEDCQBHIVMGVHV-UHFFFAOYSA-N,PEDCQBHIVMGVHV-UHFFFAOYSA-N,
OWBTYPJTUOEWEK-UHFFFAOYSA-N,OWBTYPJTUOEWEK-UHFFFAOYSA-N,
HPXRVTGHNJAIIH-UHFFFAOYSA-N,HPXRVTGHNJAIIH-UHFFFAOYSA-N,
MWKFXSUHUHTGQN-UHFFFAOYSA-N,MWKFXSUHUHTGQN-UHFFFAOYSA-N,
MQWCXKGKQLNYQG-UHFFFAOYSA-N,MQWCXKGKQLNYQG-UHFFFAOYSA-N,
